Rank,Player,Age,Events,Rounds,Cuts Made,Top 10s,Wins,Earnings,Yards/Drive,Driving Accuracy,Greens in Regulation,Putting Average,Sand Save Pct,Eagles,Birdies,Pars,Bogies
1,Dustin Johnson,33.00,22.00,82.00,21.00,15.00,3.00,9365185.00,313.60,57.20,67.80,1.71,45.20,16.00,365.00,882.00,181.00
2,Jason Day,30.00,20.00,69.00,17.00,10.00,3.00,8045111.50,304.20,50.50,67.20,1.71,62.30,14.00,287.00,763.00,163.00
3,Adam Scott,37.00,20.00,76.00,20.00,9.00,2.00,6473089.50,304.60,55.60,70.80,1.77,50.90,13.00,300.00,855.00,175.00
4,Rory McIlroy,28.00,18.00,62.00,15.00,8.00,2.00,5790585.50,306.80,61.10,69.60,1.75,47.50,8.00,274.00,661.00,148.00
5,Patrick Reed,27.00,28.00,101.00,24.00,11.00,1.00,5679575.00,297.40,56.00,64.70,1.75,56.70,12.00,385.00,1156.00,238.00
6,Jordan Spieth,24.00,21.00,76.00,19.00,8.00,2.00,5538470.50,295.40,58.10,63.50,1.71,54.70,7.00,324.00,835.00,180.00
7,Russell Knox,32.00,25.00,89.00,21.00,4.00,2.00,4885906.50,285.80,68.50,69.70,1.79,50.00,5.00,323.00,1042.00,203.00
8,Kevin Chappell,31.00,27.00,93.00,19.00,8.00,0.00,4501050.00,296.30,60.70,66.40,1.77,44.90,16.00,332.00,1052.00,249.00
9,Hideki Matsuyama,26.00,23.00,73.00,16.00,8.00,1.00,4193954.00,294.50,62.00,68.10,1.74,53.00,3.00,306.00,806.00,169.00
10,Jimmy Walker,40.00,25.00,82.00,18.00,5.00,1.00,4148546.50,301.30,48.30,64.00,1.76,46.80,10.00,315.00,889.00,236.00
11,Justin Thomas,24.00,28.00,96.00,22.00,7.00,1.00,4126366.00,301.30,53.90,65.60,1.78,52.20,11.00,360.00,1054.00,267.00
12,Phil Mickelson,47.00,22.00,72.00,16.00,6.00,0.00,4022628.00,294.80,54.80,66.10,1.73,61.50,6.00,292.00,817.00,155.00
13,Brandt Snedeker,37.00,27.00,89.00,20.00,7.00,1.00,3960141.80,292.60,58.70,65.70,1.75,57.10,4.00,339.00,1020.00,216.00
14,Paul Casey,40.00,22.00,74.00,17.00,7.00,0.00,3833559.80,295.20,64.70,70.80,1.79,50.40,5.00,273.00,867.00,167.00
15,Matt Kuchar,39.00,26.00,96.00,24.00,10.00,0.00,3819678.50,285.80,65.70,67.80,1.75,54.60,5.00,376.00,1092.00,223.00
16,Ryan Moore,35.00,23.00,81.00,19.00,9.00,1.00,3701034.50,283.20,66.50,65.80,1.74,50.80,4.00,304.00,928.00,203.00
17,William McGirt,38.00,28.00,98.00,20.00,7.00,1.00,3614972.30,287.60,65.30,67.40,1.77,47.90,7.00,350.00,1142.00,246.00
18,Bubba Watson,39.00,19.00,69.00,17.00,4.00,1.00,3492842.00,310.60,55.10,69.20,1.78,47.30,11.00,254.00,770.00,187.00
19,Kevin Na,34.00,26.00,93.00,22.00,8.00,0.00,3441290.80,279.60,65.30,66.70,1.75,45.90,8.00,352.00,1050.00,241.00
20,Kevin Kisner,34.00,27.00,94.00,22.00,6.00,1.00,3424353.80,289.00,64.90,65.20,1.73,44.30,10.00,351.00,1054.00,240.00
21,Henrik Stenson,42.00,14.00,46.00,10.00,4.00,1.00,3397372.80,,,,,,7.00,196.00,497.00,112.00
22,Emiliano Grillo,,25.00,90.00,22.00,3.00,1.00,3371705.50,294.30,66.90,68.50,1.78,47.70,4.00,342.00,1001.00,240.00
23,Brooks Koepka,27.00,21.00,71.00,17.00,7.00,0.00,3322393.00,302.60,58.60,67.00,1.74,51.80,11.00,288.00,742.00,203.00
24,Daniel Berger,25.00,26.00,90.00,22.00,6.00,1.00,3243014.30,298.40,56.70,67.70,1.76,45.90,5.00,342.00,1009.00,217.00
25,Sergio Garcia,38.00,15.00,51.00,13.00,4.00,1.00,3242156.00,299.90,61.80,70.20,1.79,57.80,6.00,195.00,573.00,129.00
26,Si Woo Kim,22.00,34.00,109.00,22.00,5.00,1.00,3086369.30,293.50,62.80,64.80,1.76,50.80,12.00,400.00,1251.00,270.00
27,J.B. Holmes,35.00,22.00,74.00,17.00,6.00,0.00,2969608.00,314.50,51.70,65.20,1.76,53.90,4.00,300.00,786.00,214.00
28,Charl Schwartzel,33.00,19.00,70.00,18.00,5.00,1.00,2936027.50,296.70,56.90,68.70,1.78,51.20,6.00,266.00,789.00,174.00
29,Danny Willett,30.00,9.00,30.00,8.00,3.00,1.00,2918132.30,,,,,,1.00,112.00,334.00,83.00
30,Scott Piercy,39.00,24.00,84.00,20.00,3.00,0.00,2905349.30,297.90,59.40,67.30,1.79,52.60,13.00,296.00,946.00,227.00
31,Jason Dufner,41.00,28.00,102.00,25.00,6.00,1.00,2879883.50,293.20,62.80,70.20,1.78,45.30,8.00,385.00,1144.00,267.00
32,Branden Grace,29.00,18.00,60.00,14.00,6.00,1.00,2878867.80,295.60,55.10,66.80,1.78,49.50,3.00,209.00,697.00,154.00
33,Rickie Fowler,29.00,23.00,77.00,18.00,8.00,0.00,2713563.50,301.60,58.70,69.30,1.77,52.00,7.00,286.00,910.00,156.00
34,Graeme McDowell,38.00,21.00,60.00,11.00,5.00,1.00,2596169.80,281.40,67.70,64.40,1.78,49.00,2.00,211.00,678.00,161.00
35,Roberto Castro,32.00,27.00,97.00,22.00,4.00,0.00,2520574.50,284.20,69.40,69.10,1.77,50.70,9.00,357.00,1130.00,238.00
36,Smylie Kaufman,26.00,28.00,88.00,18.00,4.00,1.00,2508173.80,299.00,52.90,66.30,1.76,52.90,9.00,334.00,967.00,238.00
37,Jhonattan Vegas,33.00,27.00,93.00,20.00,5.00,1.00,2478979.80,304.40,56.60,69.70,1.78,46.40,12.00,335.00,1075.00,225.00
38,Louis Oosthuizen,35.00,17.00,56.00,13.00,3.00,0.00,2422078.80,294.00,61.70,68.20,1.78,53.00,7.00,192.00,635.00,153.00
39,Gary Woodland,33.00,26.00,91.00,21.00,3.00,0.00,2392044.30,306.10,56.70,68.70,1.78,48.90,11.00,332.00,1061.00,203.00
40,Bill Haas,35.00,24.00,82.00,19.00,6.00,0.00,2390199.50,289.60,62.30,67.10,1.81,50.40,9.00,255.00,999.00,196.00
41,James Hahn,36.00,26.00,85.00,16.00,3.00,1.00,2367521.30,290.90,60.70,64.60,1.79,41.00,6.00,283.00,966.00,249.00
42,Charley Hoffman,41.00,26.00,88.00,20.00,1.00,1.00,2350239.50,298.20,54.80,64.60,1.78,48.00,10.00,297.00,994.00,257.00
43,Fabian Gomez,39.00,26.00,79.00,16.00,4.00,1.00,2227040.50,289.00,61.40,63.70,1.77,54.60,7.00,273.00,885.00,225.00
44,Jim Herman,40.00,29.00,93.00,18.00,2.00,1.00,2091274.30,291.10,65.60,65.70,1.79,48.40,8.00,305.00,1075.00,249.00
45,Justin Rose,37.00,18.00,62.00,15.00,5.00,0.00,2085364.80,303.90,57.90,67.90,1.77,55.50,6.00,236.00,692.00,164.00
46,Daniel Summerhays,34.00,28.00,99.00,21.00,2.00,0.00,2045968.10,288.00,58.70,63.00,1.74,44.50,13.00,363.00,1088.00,288.00
47,Harris English,28.00,27.00,97.00,22.00,3.00,0.00,2014282.90,299.20,55.00,64.80,1.78,49.30,7.00,337.00,1114.00,263.00
48,Charles Howell III,38.00,25.00,91.00,21.00,5.00,0.00,1974962.00,303.40,52.60,68.00,1.76,50.40,10.00,347.00,1046.00,216.00
49,Jamie Lovemark,30.00,27.00,91.00,19.00,5.00,0.00,1940890.10,304.80,57.30,65.30,1.77,52.20,8.00,345.00,1023.00,226.00
50,Jason Kokrak,32.00,28.00,89.00,17.00,4.00,0.00,1934250.40,307.40,58.40,68.70,1.79,48.70,6.00,325.00,1030.00,206.00
51,Jon Curran,31.00,30.00,99.00,19.00,3.00,0.00,1902481.10,271.90,64.40,63.00,1.75,61.10,2.00,340.00,1169.00,233.00
52,David Lingmerth,30.00,24.00,81.00,18.00,2.00,0.00,1863783.00,284.80,67.40,64.00,1.77,46.00,6.00,293.00,912.00,223.00
53,Tony Finau,28.00,28.00,95.00,19.00,2.00,1.00,1814790.10,312.20,52.50,65.10,1.78,46.40,8.00,343.00,1075.00,250.00
54,Ryan Palmer,41.00,23.00,86.00,20.00,3.00,0.00,1794140.50,304.70,57.90,67.80,1.75,46.00,12.00,344.00,930.00,230.00
55,Billy Hurley III,35.00,20.00,66.00,13.00,2.00,1.00,1770400.00,277.70,65.40,62.70,1.75,46.90,4.00,223.00,771.00,168.00
56,Chris Kirk,32.00,28.00,85.00,18.00,3.00,0.00,1762335.00,285.90,62.00,64.10,1.77,57.40,5.00,291.00,994.00,211.00
57,Billy Horschel,31.00,20.00,70.00,17.00,5.00,0.00,1744570.50,293.00,60.70,67.70,1.78,49.60,4.00,260.00,777.00,194.00
58,Zach Johnson,42.00,24.00,86.00,21.00,5.00,0.00,1718702.50,280.10,65.20,64.50,1.76,53.70,4.00,314.00,986.00,222.00
59,Sean O'Hair,35.00,27.00,89.00,18.00,2.00,0.00,1702713.00,302.20,58.80,67.20,1.75,62.40,5.00,344.00,989.00,240.00
60,Brian Stuard,35.00,20.00,66.00,13.00,1.00,1.00,1666014.40,277.70,71.10,63.30,1.79,54.40,1.00,224.00,765.00,182.00
61,Aaron Baddeley,37.00,28.00,89.00,18.00,5.00,1.00,1644914.90,291.70,55.40,63.10,1.75,61.10,9.00,323.00,1025.00,220.00
62,Vaughn Taylor,42.00,24.00,72.00,12.00,1.00,1.00,1640750.30,287.00,61.60,64.40,1.75,50.40,5.00,258.00,798.00,204.00
63,Luke Donald,40.00,23.00,81.00,17.00,2.00,0.00,1634515.00,282.90,56.70,64.60,1.79,56.20,2.00,259.00,984.00,194.00
64,Rafael Cabrera Bello,33.00,10.00,34.00,9.00,3.00,0.00,1609350.30,,,,,,7.00,117.00,388.00,90.00
65,Kevin Streelman,39.00,26.00,82.00,15.00,2.00,0.00,1601177.40,289.10,64.40,69.20,1.78,40.30,7.00,290.00,927.00,221.00
66,Colt Knost,32.00,26.00,86.00,19.00,2.00,0.00,1594587.30,269.70,73.40,65.30,1.77,51.10,7.00,280.00,1025.00,205.00
67,Brendan Steele,35.00,25.00,84.00,18.00,1.00,0.00,1589265.60,302.20,60.30,68.70,1.79,56.00,9.00,296.00,961.00,221.00
68,Shane Lowry,31.00,17.00,54.00,12.00,2.00,0.00,1585435.90,298.70,61.90,64.50,1.79,47.20,5.00,179.00,595.00,179.00
69,Marc Leishman,34.00,25.00,86.00,20.00,2.00,0.00,1566824.40,295.00,60.60,65.30,1.77,55.30,6.00,302.00,1004.00,211.00
70,Alex Cejka,47.00,22.00,67.00,14.00,4.00,0.00,1566307.50,281.50,65.90,68.00,1.75,54.30,5.00,259.00,784.00,142.00
71,Kyle Reifers,34.00,34.00,111.00,23.00,4.00,0.00,1539578.00,287.30,65.30,67.60,1.76,56.50,12.00,389.00,1278.00,287.00
72,Jim Furyk,47.00,14.00,52.00,12.00,3.00,0.00,1538204.40,280.80,69.10,68.30,1.80,46.00,4.00,161.00,626.00,135.00
73,Patton Kizzire,32.00,27.00,89.00,20.00,5.00,0.00,1468624.10,291.30,55.20,64.50,1.76,45.00,5.00,322.00,993.00,247.00
74,Webb Simpson,32.00,20.00,70.00,15.00,2.00,0.00,1450355.00,286.30,62.20,67.10,1.78,53.40,8.00,254.00,792.00,183.00
75,Steve Stricker,51.00,15.00,53.00,11.00,3.00,0.00,1418647.50,278.00,63.20,63.00,1.73,54.30,4.00,189.00,628.00,122.00
76,Danny Lee,27.00,28.00,90.00,20.00,2.00,0.00,1405722.30,286.60,64.10,64.00,1.78,56.80,9.00,321.00,991.00,263.00
77,Jason Bohn,44.00,21.00,67.00,12.00,3.00,0.00,1369704.80,276.30,67.60,66.30,1.74,42.20,2.00,250.00,758.00,170.00
78,Freddie Jacobson,43.00,26.00,86.00,18.00,3.00,0.00,1354195.60,280.30,59.00,64.90,1.74,55.00,5.00,322.00,974.00,216.00
79,Bryce Molder,39.00,26.00,78.00,14.00,5.00,0.00,1353384.60,280.20,62.50,61.30,1.74,58.30,8.00,261.00,928.00,186.00
80,Jerry Kelly,51.00,23.00,76.00,15.00,2.00,0.00,1328656.60,278.20,71.20,66.70,1.79,53.90,11.00,242.00,922.00,170.00
81,K.J. Choi,47.00,22.00,73.00,14.00,2.00,0.00,1328447.90,275.30,66.20,65.40,1.77,56.30,5.00,251.00,855.00,181.00
82,"Harold Varner, III",27.00,28.00,92.00,18.00,4.00,0.00,1327320.30,,,,,,10.00,326.00,1024.00,267.00
83,Brian Harman,31.00,31.00,104.00,21.00,2.00,0.00,1299801.50,289.70,63.40,64.90,1.76,55.30,7.00,380.00,1188.00,267.00
84,Peter Malnati,30.00,32.00,85.00,11.00,3.00,1.00,1298944.60,279.70,60.50,62.10,1.76,51.40,5.00,287.00,966.00,244.00
85,Patrick Rodgers,,28.00,85.00,16.00,3.00,0.00,1290336.50,300.50,57.70,69.20,1.79,42.20,13.00,309.00,962.00,217.00
86,Byeong Hun An,26.00,14.00,43.00,10.00,2.00,0.00,1278796.60,,,,,,3.00,161.00,462.00,125.00
87,Russell Henley,29.00,25.00,76.00,13.00,4.00,0.00,1228346.60,295.60,63.20,68.30,1.78,56.80,7.00,268.00,896.00,172.00
88,Martin Laird,35.00,24.00,78.00,16.00,2.00,0.00,1224679.60,298.50,55.10,67.70,1.78,50.90,3.00,289.00,890.00,199.00
89,David Hearn,38.00,29.00,95.00,19.00,2.00,0.00,1211514.30,281.20,65.90,68.30,1.76,53.70,10.00,331.00,1127.00,211.00
90,Vijay Singh,55.00,22.00,72.00,14.00,2.00,0.00,1210104.30,289.80,56.70,62.70,1.77,43.00,4.00,246.00,800.00,218.00
91,Ben Martin,30.00,28.00,88.00,17.00,1.00,0.00,1205730.50,288.80,62.10,66.70,1.76,41.70,16.00,325.00,963.00,241.00
92,Spencer Levin,33.00,32.00,100.00,19.00,2.00,0.00,1179881.90,281.30,67.80,66.30,1.75,46.40,8.00,348.00,1168.00,248.00
93,Chad Campbell,43.00,28.00,90.00,17.00,3.00,0.00,1168072.80,287.90,64.40,68.20,1.79,55.30,4.00,313.00,1072.00,215.00
94,Ricky Barnes,37.00,29.00,93.00,19.00,4.00,0.00,1158799.80,287.60,54.30,65.80,1.74,52.40,2.00,354.00,1065.00,229.00
95,Scott Brown,34.00,27.00,87.00,17.00,4.00,0.00,1143451.80,292.50,63.70,65.00,1.77,50.00,7.00,301.00,999.00,233.00
96,Lee Westwood,44.00,7.00,22.00,6.00,1.00,0.00,1138810.00,,,,,,6.00,65.00,240.00,78.00
