Rank,Player,Age,Events,Rounds,Cuts Made,Top 10s,Wins,Earnings,Yards/Drive,Driving Accuracy,Greens in Regulation,Putting Average,Sand Save Pct,Eagles,Birdies,Pars,Bogies
97,Jonas Blixt,33.00,26.00,76.00,14.00,2.00,0.00,1115321.80,290.30,57.80,61.00,1.73,61.30,8.00,282.00,843.00,201.00
98,Chez Reavie,36.00,27.00,86.00,17.00,2.00,0.00,1086964.00,287.30,68.20,68.10,1.78,53.20,14.00,298.00,1010.00,205.00
99,Brett Stegmaier,,29.00,86.00,16.00,3.00,0.00,1086714.40,295.30,60.90,66.80,1.80,41.20,6.00,292.00,983.00,226.00
100,Johnson Wagner,38.00,26.00,86.00,17.00,3.00,0.00,1083787.00,289.40,61.10,69.40,1.78,46.00,9.00,309.00,991.00,210.00
101,Francesco Molinari,35.00,18.00,64.00,14.00,3.00,0.00,1083155.40,286.70,63.80,64.90,1.79,44.70,7.00,212.00,747.00,170.00
102,Andrew Loupe,29.00,27.00,75.00,11.00,4.00,0.00,1075275.80,309.30,45.60,63.40,1.74,45.30,9.00,298.00,774.00,228.00
103,Adam Hadwin,30.00,27.00,93.00,20.00,2.00,0.00,1067809.10,290.10,63.60,66.10,1.73,54.80,7.00,357.00,1047.00,228.00
104,Cameron Tringale,30.00,25.00,77.00,15.00,1.00,0.00,1064066.00,285.10,59.60,65.70,1.76,48.60,7.00,279.00,856.00,227.00
105,Hudson Swafford,30.00,30.00,104.00,22.00,1.00,0.00,1027313.94,306.90,61.40,68.80,1.77,49.10,13.00,395.00,1159.00,261.00
106,Tyrone van Aswegen,36.00,31.00,102.00,22.00,2.00,0.00,1025631.75,288.00,52.90,64.80,1.79,59.00,7.00,334.00,1198.00,262.00
107,Robert Garrigus,40.00,21.00,65.00,13.00,3.00,0.00,1024899.50,303.30,53.90,69.30,1.78,39.50,7.00,260.00,703.00,176.00
108,John Huh,27.00,28.00,85.00,16.00,3.00,0.00,1007218.50,284.70,68.30,66.20,1.79,59.40,6.00,286.00,1006.00,203.00
109,Jon Rahm,23.00,9.00,30.00,7.00,3.00,0.00,1004034.90,,,,,,5.00,132.00,318.00,71.00
110,Robert Streb,31.00,27.00,84.00,17.00,1.00,0.00,1003362.60,294.70,57.50,66.20,1.81,45.90,9.00,275.00,957.00,252.00
111,Boo Weekley,44.00,26.00,83.00,15.00,2.00,0.00,991660.20,291.50,67.00,67.90,1.79,42.50,6.00,306.00,937.00,213.00
112,John Senden,47.00,28.00,86.00,16.00,1.00,0.00,989840.90,289.70,60.10,68.90,1.78,48.20,5.00,304.00,1007.00,207.00
113,Sung-hoon Kang,,29.00,87.00,16.00,2.00,0.00,979576.40,,,,,,11.00,295.00,1004.00,226.00
114,Lucas Glover,38.00,23.00,75.00,15.00,2.00,0.00,948927.50,298.30,64.40,71.60,1.77,42.60,5.00,284.00,870.00,160.00
115,Troy Merritt,32.00,26.00,77.00,12.00,1.00,0.00,922706.56,287.20,60.90,63.10,1.75,53.40,6.00,271.00,871.00,205.00
116,Soren Kjeldsen,42.00,12.00,40.00,10.00,2.00,0.00,921468.44,,,,,,,,,
117,Graham DeLaet,36.00,21.00,66.00,13.00,3.00,0.00,908556.50,297.90,60.10,68.40,1.77,44.30,7.00,249.00,723.00,177.00
118,Zac Blair,,31.00,95.00,18.00,2.00,0.00,903458.94,275.30,69.90,62.30,1.79,48.40,3.00,305.00,1125.00,238.00
119,Keegan Bradley,31.00,26.00,82.00,15.00,2.00,0.00,899985.00,300.00,64.60,69.60,1.81,41.00,6.00,286.00,943.00,212.00
120,Derek Fathauer,32.00,30.00,94.00,19.00,1.00,0.00,898430.20,288.20,52.00,62.00,1.75,46.10,2.00,332.00,1059.00,266.00
121,Anirban Lahiri,30.00,21.00,69.00,16.00,1.00,0.00,835171.00,291.70,56.30,62.90,1.76,43.60,6.00,239.00,768.00,206.00
122,David Toms,51.00,19.00,62.00,12.00,1.00,0.00,774522.44,269.70,68.00,65.50,1.80,57.50,,,,
123,Ken Duke,49.00,20.00,54.00,8.00,2.00,0.00,773025.40,280.20,64.20,59.30,1.78,44.70,7.00,177.00,568.00,204.00
124,Blayne Barber,28.00,27.00,80.00,15.00,1.00,0.00,768584.90,289.60,62.40,66.70,1.78,51.50,7.00,282.00,907.00,221.00
125,Steve Marino,38.00,24.00,68.00,12.00,2.00,0.00,768200.30,292.00,58.50,66.00,1.79,49.60,3.00,238.00,772.00,180.00
126,Bud Cauley,28.00,15.00,48.00,9.00,3.00,0.00,760430.00,,,,,,7.00,183.00,529.00,118.00
127,Luke List,33.00,27.00,77.00,12.00,2.00,0.00,751001.25,306.90,51.00,67.20,1.79,54.40,6.00,289.00,866.00,199.00
128,Retief Goosen,49.00,16.00,55.00,12.00,0.00,0.00,745735.30,288.80,56.40,62.70,1.75,53.20,3.00,186.00,643.00,141.00
129,Chad Collins,39.00,26.00,73.00,10.00,1.00,0.00,734547.94,279.30,57.40,62.40,1.78,52.40,5.00,225.00,862.00,196.00
130,Morgan Hoffmann,28.00,25.00,67.00,10.00,1.00,0.00,717890.00,294.40,57.80,63.30,1.76,51.40,12.00,238.00,742.00,174.00
131,Matthew Fitzpatrick,23.00,12.00,34.00,7.00,2.00,0.00,713917.40,,,,,,3.00,109.00,380.00,111.00
132,Matt Jones,38.00,27.00,80.00,15.00,0.00,0.00,712722.60,294.80,57.60,64.00,1.77,50.80,4.00,283.00,899.00,220.00
133,Tim Wilkinson,39.00,22.00,68.00,13.00,1.00,0.00,708622.60,279.30,62.40,64.70,1.76,56.10,3.00,245.00,789.00,169.00
134,Martin Kaymer,33.00,10.00,34.00,9.00,1.00,0.00,701140.20,,,,,,3.00,120.00,361.00,118.00
135,Shawn Stefani,36.00,29.00,87.00,15.00,1.00,0.00,698102.00,292.10,58.40,66.50,1.81,51.50,8.00,272.00,1041.00,211.00
136,Scott Stallings,33.00,27.00,70.00,10.00,1.00,0.00,697433.56,295.50,57.00,66.10,1.78,38.50,5.00,241.00,802.00,196.00
137,Greg Chalmers,44.00,12.00,33.00,5.00,0.00,0.00,695188.44,,,,,,1.00,85.00,402.00,88.00
138,Whee Kim,26.00,27.00,78.00,13.00,2.00,0.00,682661.90,287.60,63.50,65.70,1.80,42.00,5.00,253.00,908.00,208.00
139,Kiradech Aphibarnrat,28.00,11.00,32.00,7.00,1.00,0.00,680450.00,,,,,,6.00,104.00,341.00,105.00
140,Willy Wilcox,31.00,23.00,65.00,11.00,2.00,0.00,676840.75,,,,,,6.00,229.00,733.00,179.00
141,Tyrrell Hatton,26.00,5.00,18.00,4.00,2.00,0.00,674787.60,,,,,,1.00,57.00,235.00,25.00
142,Michael Kim,24.00,29.00,96.00,21.00,0.00,0.00,664538.90,284.30,58.60,63.00,1.77,57.80,4.00,333.00,1101.00,259.00
143,Seung-yul Noh,26.00,28.00,81.00,15.00,1.00,0.00,661711.25,295.30,49.10,64.50,1.76,52.90,5.00,289.00,910.00,221.00
144,Padraig Harrington,46.00,16.00,54.00,11.00,1.00,0.00,654929.00,289.60,60.70,63.00,1.78,57.80,4.00,189.00,613.00,150.00
145,Mark Hubbard,,30.00,97.00,20.00,0.00,0.00,642942.30,280.20,64.80,63.50,1.77,53.70,9.00,333.00,1110.00,259.00
146,Hiroshi Iwata,37.00,29.00,83.00,14.00,1.00,0.00,634862.00,288.80,58.30,59.50,1.76,55.40,12.00,263.00,951.00,232.00
147,Nick Taylor,30.00,26.00,79.00,15.00,1.00,0.00,628756.44,296.20,57.20,65.80,1.77,45.20,10.00,272.00,912.00,203.00
148,Ben Crane,42.00,27.00,77.00,13.00,1.00,0.00,607891.60,280.30,63.20,63.60,1.76,56.60,3.00,264.00,894.00,209.00
149,Steve Wheatcroft,40.00,26.00,81.00,15.00,1.00,0.00,601163.70,286.20,60.30,61.90,1.77,43.40,8.00,267.00,931.00,221.00
150,Chris Stroud,36.00,27.00,80.00,16.00,1.00,0.00,599175.90,286.30,60.70,66.60,1.76,40.90,9.00,279.00,918.00,211.00
151,Kyle Stanley,30.00,28.00,89.00,17.00,0.00,0.00,580734.06,288.10,64.50,67.20,1.77,41.70,8.00,307.00,1014.00,240.00
152,Andres Gonzales,34.00,28.00,78.00,12.00,1.00,0.00,579666.50,294.70,54.60,66.20,1.79,48.70,4.00,277.00,873.00,208.00
153,Martin Piller,,22.00,57.00,8.00,2.00,0.00,570739.70,286.60,59.00,64.30,1.78,58.20,4.00,183.00,671.00,135.00
154,Andy Sullivan,,11.00,36.00,9.00,0.00,0.00,561779.25,,,,,,3.00,114.00,402.00,118.00
155,Tom Hoge,28.00,26.00,77.00,13.00,2.00,0.00,561558.75,289.50,55.80,62.50,1.77,50.00,9.00,255.00,869.00,216.00
156,Ernie Els,48.00,21.00,66.00,12.00,1.00,0.00,559023.94,292.80,52.90,61.20,1.76,41.90,9.00,218.00,725.00,204.00
157,Bronson Burgoon,,27.00,79.00,15.00,0.00,0.00,557020.20,293.10,57.30,66.20,1.80,47.70,9.00,256.00,925.00,210.00
158,Michael Thompson,33.00,23.00,68.00,12.00,1.00,0.00,521983.06,291.40,60.60,66.20,1.77,52.40,7.00,262.00,742.00,180.00
159,Jamie Donaldson,42.00,13.00,41.00,10.00,0.00,0.00,520051.63,,,,,,3.00,124.00,470.00,128.00
160,Ross Fisher,37.00,4.00,14.00,3.00,1.00,0.00,518642.84,,,,,,1.00,47.00,164.00,37.00
161,Tyler Aldridge,33.00,28.00,79.00,13.00,0.00,0.00,517737.63,285.20,58.00,65.50,1.80,53.20,6.00,262.00,910.00,221.00
162,Sam Saunders,30.00,24.00,65.00,9.00,1.00,0.00,510078.56,291.80,59.80,64.40,1.79,47.90,5.00,222.00,729.00,188.00
163,Chesson Hadley,30.00,27.00,79.00,13.00,0.00,0.00,503993.44,296.50,56.60,65.30,1.78,47.10,3.00,286.00,866.00,238.00
164,Stuart Appleby,46.00,23.00,69.00,13.00,0.00,0.00,500214.13,282.70,62.20,61.40,1.75,57.30,4.00,233.00,808.00,181.00
165,Greg Owen,46.00,29.00,81.00,13.00,1.00,0.00,484954.88,297.70,59.20,69.80,1.82,40.50,7.00,278.00,910.00,228.00
166,Cameron Smith,24.00,24.00,69.00,12.00,0.00,0.00,477843.28,286.30,59.20,62.70,1.77,55.30,2.00,231.00,774.00,202.00
167,Bryson DeChambeau,24.00,12.00,38.00,7.00,1.00,0.00,476621.34,,,,,,1.00,133.00,423.00,116.00
168,Rob Oppenheim,,21.00,63.00,11.00,1.00,0.00,462427.44,281.20,55.30,63.60,1.79,45.60,5.00,193.00,742.00,174.00
169,Steven Bowditch,34.00,26.00,71.00,11.00,1.00,0.00,458891.00,288.90,43.00,54.50,1.78,57.40,4.00,214.00,735.00,241.00
170,Camilo Villegas,36.00,27.00,79.00,14.00,0.00,0.00,450056.13,287.00,52.20,62.10,1.78,45.30,7.00,264.00,899.00,214.00
171,Brice Garnett,34.00,15.00,41.00,6.00,2.00,0.00,446564.66,,,,,,1.00,154.00,467.00,100.00
172,Stewart Cink,44.00,19.00,61.00,11.00,0.00,0.00,437855.28,296.90,58.40,70.40,1.81,43.80,6.00,216.00,698.00,162.00
173,Luke Guthrie,28.00,19.00,55.00,9.00,1.00,0.00,427441.63,289.30,55.50,63.10,1.73,50.70,7.00,200.00,621.00,137.00
174,Jason Gore,43.00,27.00,74.00,12.00,0.00,0.00,416653.88,289.20,63.60,66.50,1.78,42.60,7.00,256.00,844.00,185.00
175,Will MacKenzie,43.00,26.00,80.00,14.00,1.00,0.00,416032.66,285.60,60.80,66.40,1.79,46.40,1.00,267.00,930.00,215.00
176,Brendon de Jonge,37.00,30.00,81.00,11.00,0.00,0.00,415582.63,287.50,59.20,65.60,1.78,52.70,4.00,267.00,946.00,215.00
177,Jeff Overton,34.00,25.00,66.00,10.00,1.00,0.00,410245.84,285.00,59.30,63.90,1.81,43.70,2.00,212.00,766.00,168.00
178,Kelly Kraft,29.00,20.00,59.00,10.00,1.00,0.00,403437.22,289.80,60.40,67.40,1.77,47.90,6.00,211.00,670.00,157.00
179,Geoff Ogilvy,40.00,22.00,59.00,8.00,1.00,0.00,397595.47,291.90,61.20,63.70,1.78,45.50,7.00,198.00,662.00,173.00
180,Bernd Wiesberger,32.00,11.00,30.00,6.00,0.00,0.00,390674.00,,,,,,1.00,88.00,358.00,76.00
181,Scott Langley,29.00,22.00,63.00,10.00,0.00,0.00,380024.60,285.70,64.80,63.90,1.81,52.70,4.00,197.00,749.00,172.00
182,Andrew Landry,,18.00,49.00,7.00,1.00,0.00,373980.44,294.70,65.60,64.60,1.79,44.40,4.00,159.00,582.00,119.00
183,Ian Poulter,42.00,13.00,45.00,9.00,1.00,0.00,370256.25,,,,,,4.00,126.00,535.00,117.00
184,Bobby Wyatt,,6.00,16.00,3.00,1.00,0.00,353348.00,,,,,,1.00,61.00,177.00,44.00
185,Chris Wood,30.00,8.00,23.00,6.00,0.00,0.00,348340.00,,,,,,4.00,65.00,254.00,61.00
186,Thomas Aiken,34.00,23.00,66.00,11.00,0.00,0.00,347686.38,290.50,72.40,70.20,1.83,44.10,6.00,217.00,768.00,184.00
187,Wes Roach,29.00,21.00,55.00,8.00,0.00,0.00,342097.84,294.70,61.00,63.20,1.76,43.70,5.00,196.00,606.00,159.00
188,Andrew Johnston,,4.00,16.00,4.00,1.00,0.00,336762.00,,,,,,,,,
189,Scott Pinckney,29.00,29.00,85.00,15.00,0.00,0.00,332532.80,296.80,63.10,69.00,1.80,39.80,10.00,303.00,944.00,243.00
190,Thongchai Jaidee,48.00,8.00,24.00,6.00,0.00,0.00,326949.70,,,,,,,,,
191,Cameron Percy,43.00,15.00,45.00,9.00,0.00,0.00,313456.30,,,,,,5.00,151.00,529.00,113.00
192,Mark Wilson,43.00,21.00,62.00,11.00,0.00,0.00,306866.25,274.70,66.20,65.00,1.81,55.00,3.00,187.00,739.00,169.00
193,D.A. Points,41.00,18.00,51.00,9.00,0.00,0.00,305250.00,282.30,59.50,65.40,1.79,43.00,3.00,185.00,561.00,155.00
194,Dawie van der Walt,35.00,25.00,70.00,11.00,0.00,0.00,301696.80,290.20,56.90,66.80,1.78,38.20,9.00,243.00,777.00,213.00
195,Tim Herron,48.00,14.00,41.00,7.00,0.00,0.00,297238.00,,,,,,1.00,132.00,475.00,117.00
196,Henrik Norlander,31.00,21.00,67.00,13.00,0.00,0.00,290888.70,288.10,63.40,68.20,1.78,50.00,6.00,231.00,788.00,162.00
197,Justin Leonard,45.00,13.00,40.00,7.00,0.00,0.00,288428.00,,,,,,1.00,120.00,470.00,114.00
198,J.J. Henry,43.00,24.00,66.00,11.00,0.00,0.00,280674.34,287.30,59.30,67.50,1.84,47.70,4.00,182.00,788.00,200.00
199,Brian Gay,46.00,13.00,34.00,4.00,1.00,0.00,280619.16,,,,,,,,,
200,Angel Cabrera,48.00,22.00,63.00,12.00,0.00,0.00,277117.72,294.60,58.10,63.10,1.82,42.90,3.00,191.00,706.00,182.00